번호,내용
1,"하나개 해수욕장은 샘꾸미 선착장에서 차로 10분이면 도착할 수 있다. 무의도에서 가장 큰 갯벌이라는 뜻의 하나개 해수욕장에는 1km 길이의 해변에  밀가루처럼 입자가 고운 모래가 깔려있는 해수욕장이다. 해변가에 원두막 형태로 지은 방갈로는 물이 들면 수상가옥에 떠 있는 것처럼 색다른 체험을 할 수 있다. 갯벌을 조금만 파내려가도 흰 속살의 동죽조개가 입을 오므린채 나타나는 등 소라, 방게, 바지락 등이 지천이다. 저녁이면 하나개 주위는 온통 붉은 빛으로 물든다. 해수욕장이 서녘을 바라보고 있어 바다로 떨어지는 해를 감상하노라면 한 폭의 수채화가 절로 그려진다. 또한 이곳은 드라마 ''천국의 계단'' 촬영지로도 유명해 이 곳 세트장을 찾는 사람들이 많아져 또 하나의 새로운 명소로 자리잡고 있다."
2,"인천광역시 옹진군에 속한 덕적도는 6개의 자도(소야도, 문갑도, 굴업도, 백아도, 울도, 지도 )와 함께 있으며 여의도 면적의 7배나 되는 비교적 큰 섬이다. 덕적도라는 명칭은 깊은 바다에 있는 섬이라고 하여 ‘큰물섬’이라는 우리말에서 유래하였으며 주민들의 덕이 많다 하여 붙여진 이름이기도 하다. 덕적도의 자연환경은 타 관광지와 비교해도 손색이 없을 정도로 그 풍경이 아름다워 관광객의 발길이 끊이지 않으며 그중에서도 서포리 해변은 200~300년된 해송과 백사장이 어우러져 절경을 이룬다. 또한, 서포2리 밧개저수지로 가면 바갓수로봉의 임도가 개설되어 있으며, 바갓수로봉의 용담에 도착하면 덕적군도의 많은 섬들을 조망 할 수 있다.  용담은 용왕에게 제사를 지낸 곳으로 용이 살고 있다는 전설이 있다. 덕적도는 육지에서 1시간 정도 소요되어 비교적 가까운 거리에 있어 당일치기나 1박 2일로 관광오기에 적합하다. 또한 섬 곳곳에 아름다운 풍경을 즐길 수 있는 명소가 많으며 산과 바다가 함께 어우러져 있는 경치가 매우 아름다워 일상에 지친 현대인들이 자연에서 쉬고 싶을 때 부담 없이 다녀 갈 수 있는 친근한 섬이다."
3,인천광역시 남동구에 위치한 카페이다. 대표메뉴는 커피이다. 커피와 샌드위치를 함께 즐길수 있다
4,서해 최대의 갈대 군락지를 보러 가는 것만으로도 충분한 가치가 있으며 기암괴석과 크고 작은 고운 자갈의 해변에서 보는 낙조 또한 일품이다.
5,※ 영업시간 10:00 ~ 22:00인천 강화군 길상면 장흥리에 있는 참나무 숯불 장어구이 전문점이다. 민물장어와 갯벌장어를 선택하여 맛볼 수 있다.
6,"1994년 개업했으며, 가게 내부는 좁은 편이지만 경험에서 나오는 노하우로 삼치 맛이 일품이다. 인테리어 소품을 주인아저씨가 직접 만들어 달아 이색적인 분위기를 풍긴다."
7,※ 영업시간 10:00 ~ 21:00 (주말 및 공휴일 브레이크타임 15:00 ~ 15:30)쾌적한 환경 속에서 영양을 골고루 먹여 사육된 무공해 돼지고기와 친환경 농산물이 있는 음식점이다.
8,옹진냉면에서는 단 하루만 지나도 메밀의 맛이 영양을 잃기 때문에 메밀을 그날 쓸 만큼만 준비한다. 쫄깃쫄깃한 맛 대신 부드럽고 담백한 면과 10여 시간 동안 곤 사골 육수가 잘 어우러진다. 메밀 삶은 물인 엽차 또한 별미이다.＊동절기 11월~3월은 20:00 까지 영업
9,"양·대창구이를 전문으로 하며, 참숯으로 고기를 구워 고기의 육즙이 살아있고 맛이 좋다."
10,"[건강한 재료로 만든 펫푸드를 즐길 수 있는 애견동반카페]누닝 펫푸드카페는 반려견과 함께 커피 및 간단한 음료를 이용할 수 있는 애견동반카페로 운영하고 있다. 청라 커널웨이에 위치하고 있으며, 청라수변공원 및 청라호수공원과 인접하여 반려견과 산책 중 쉬었다 갈 수 있는 휴식의 공간을 제공하고 있다.소중한 반려견과 즐거운 시간을 보낼 수 있는 작지만 편안한 공간을 지향하고 있는 누닝 펫푸드카페는 단미사료제조업 정식 허가업체이며 천연의 재료로 깨끗하고 신선하게 애견수제간식을 만들고 있다.누닝 펫푸드카페에서는 보호자들을 위한 커피 등 간단한 음료와 함께 반려동물이 즐길 수 있는 다양한 펫푸드를 판매하고 있으며, 시그니처 강아지 음료는 우유거품이 풍성하게 올라간 누닝퍼푸치노이다. 강아지 케이크와 베이커리 간식들도 이용할 수 있으며 강아지 음료를 제외한 간식들은 인터넷을 통해서 구매도 가능하다. (일부간식 예약주문 필요)"
11,양념 소갈비와 돼지갈비 참숯 구이가 유명한 한식당이다. 외부에 소나무와 갖가지 돌들로 장식이 되어 자연스러운 정원의 느낌을 풍긴다.
12,"[중소벤처기업부 2019년도 ''백년가게''로 선정]1988년 개업하여 양질의 원재료로 건강에 유익한 오리고기 요리에 대한 끊임없는 연구를 바탕으로 운영 중인 곳이다. 보양식으로 훌륭한 오리고기와 더불어 보리밥, 오리 보쌈 등 특색 있는 메뉴 개발을 위해 힘쓰고 있다. 태안에서 생산된 10~20년 된 천일염과 충남 청양 고추를 식재료로 사용하여 건강하고 맛 좋은 음식을 제공한다."
13,주안1동에 위치하고 있는 한정식 전문점으로 신선한 음식만 취급하고 있으며 회와 보쌈 등 정식 요리가 일품이다.
14,강화 후포항 가는 길목에 위치한 청강횟집은 활어회 전문점이다. 정직한 식재료와 바른 조리법으로 맛깔스러운 요리를 제공하고자 노력하는 곳이다.
15,"성진물텀벙이집은 41년 전통을 자랑하는 인천의 명물이자 인천 향토음식 지정 업소로, KBS, MBC, SBS TV와 일본 NHK TV에도 소개된 바 있으며 향토음식 경진대회에서 우수상을 수상하기도 하였다. 아귀와 야채의 신선도를 가장 중요시하며, 아귀 중에서도 큰 종류의 것만 사용한다. 또한 아이와 동반한 부모들이 편하게 식사를 즐길 수 있도록 아이들을 위한 오락기와 책들이 구비되어 있다."
